file,assembly,part,color,role,size_x_mm,size_y_mm,size_z_mm,assembly_tx_mm,assembly_ty_mm,assembly_tz_mm,volume_cm3,units
001_pelvis_shell_01.stl,pelvis,pelvis_shell,graphite,cosmetic exterior,62.048,198.095,76.095,-62.047541,-99.047541,464.952459,97.5047,mm
001_pelvis_shell_02.stl,pelvis,pelvis_shell,graphite,cosmetic exterior,62.048,198.095,76.095,0.0,-99.047541,464.952459,97.5047,mm
002_skirt_01.stl,pelvis,skirt,graphite,cosmetic exterior,81.0,119.0,72.0,-81.0,-119.0,466.0,11.7416,mm
002_skirt_02.stl,pelvis,skirt,graphite,cosmetic exterior,81.0,119.0,72.0,-81.0,-0.0,466.0,11.7415,mm
002_skirt_03.stl,pelvis,skirt,graphite,cosmetic exterior,18.866,37.192,48.196,-59.6,22.216232,489.804098,1.8519,mm
002_skirt_04.stl,pelvis,skirt,graphite,cosmetic exterior,59.6,37.192,66.66,-59.6,59.408116,471.340399,7.1482,mm
002_skirt_05.stl,pelvis,skirt,graphite,cosmetic exterior,59.6,37.192,66.66,-59.6,-96.6,471.340399,7.1482,mm
002_skirt_06.stl,pelvis,skirt,graphite,cosmetic exterior,18.866,37.192,48.196,-59.6,-59.408116,489.804098,1.8519,mm
002_skirt_07.stl,pelvis,skirt,graphite,cosmetic exterior,81.0,119.0,72.0,-0.0,-119.0,466.0,11.7415,mm
002_skirt_08.stl,pelvis,skirt,graphite,cosmetic exterior,81.0,119.0,72.0,-0.0,-0.0,466.0,11.7415,mm
002_skirt_09.stl,pelvis,skirt,graphite,cosmetic exterior,18.866,37.192,48.196,40.733731,22.216232,489.804098,1.8519,mm
002_skirt_10.stl,pelvis,skirt,graphite,cosmetic exterior,59.6,37.192,66.66,-0.0,59.408116,471.340399,7.1482,mm
002_skirt_11.stl,pelvis,skirt,graphite,cosmetic exterior,59.6,37.192,66.66,-0.0,-96.6,471.340399,7.1482,mm
002_skirt_12.stl,pelvis,skirt,graphite,cosmetic exterior,18.866,37.192,48.196,40.733731,-59.408116,489.804098,1.8519,mm
