name,parent,child,axis,lower_deg,upper_deg,torque_cap_Nm,speed_cap_rad_s,kp_Nm_per_rad,kd_Nms_per_rad,physx_friction,actuator_basis
waist_yaw,pelvis,waist_yaw_link,Z,-45,45,25,5.0,260,12,0.03,custom high-torque drive
waist_pitch,waist_yaw_link,torso,Y,-20,25,40,5.0,450,16,0.03,custom high-torque drive
neck_yaw,torso,neck_yaw_link,Z,-80,80,4,5.0,35,2,0.03,custom high-torque drive
neck_pitch,neck_yaw_link,head,Y,-30,35,5,5.0,45,2.5,0.03,custom high-torque drive
left_hip_yaw,pelvis,left_hip_yaw_link,Z,-40,40,30,5.0,320,10,0.03,custom high-torque drive
left_hip_roll,left_hip_yaw_link,left_hip_roll_link,X,-40,40,55,5.0,550,16,0.03,custom high-torque drive
left_hip_pitch,left_hip_roll_link,left_thigh,Y,-105,60,65,5.0,600,18,0.03,custom high-torque drive
left_knee,left_thigh,left_shin,Y,0,145,65,5.0,650,18,0.03,custom high-torque drive
left_ankle_pitch,left_shin,left_ankle_pitch_link,Y,-60,50,40,5.0,500,12,0.03,custom high-torque drive
left_ankle_roll,left_ankle_pitch_link,left_foot,X,-35,35,35,5.0,500,12,0.03,custom high-torque drive
left_shoulder_pitch,torso,left_shoulder_pitch_link,Y,-110,95,4.0,2.0,95,3.5,0.04,XM540-W270
left_shoulder_roll,left_shoulder_pitch_link,left_shoulder_roll_link,X,-80,80,4.0,2.0,90,3.2,0.04,XM540-W270
left_shoulder_yaw,left_shoulder_roll_link,left_upper_arm,Z,-100,100,3.5,2.0,65,2.2,0.04,XM540-W270
left_elbow,left_upper_arm,left_forearm,Y,-135,0,1.5,3.0,55,1.8,0.04,XM430-W350
left_forearm_roll,left_forearm,left_forearm_roll_link,Z,-110,110,1.0,3.0,40,1.0,0.04,XM430-W350
left_wrist_pitch,left_forearm_roll_link,left_wrist_pitch_link,Y,-65,65,0.85,3.0,20,0.6,0.04,XM430-W350
left_wrist_roll,left_wrist_pitch_link,left_hand,X,-35,35,0.65,3.0,15,0.4,0.04,XM430-W350
left_index_mcp,left_hand,left_index_mcp_link,Y,-85,10,0.08,2.5,1.3,0.035,0.02,XL330-M288 remote tendon equivalent
left_index_pip,left_index_mcp_link,left_index_pip_link,Y,-100,0,0.05,2.5,0.8,0.025,0.02,XL330-M288 remote tendon equivalent
left_index_dip,left_index_pip_link,left_index_dip_link,Y,-75,0,0.025,2.5,0.5,0.015,0.02,XL330-M288 remote tendon equivalent
left_middle_mcp,left_hand,left_middle_mcp_link,Y,-85,10,0.08,2.5,1.3,0.035,0.02,XL330-M288 remote tendon equivalent
left_middle_pip,left_middle_mcp_link,left_middle_pip_link,Y,-100,0,0.05,2.5,0.8,0.025,0.02,XL330-M288 remote tendon equivalent
left_middle_dip,left_middle_pip_link,left_middle_dip_link,Y,-75,0,0.025,2.5,0.5,0.015,0.02,XL330-M288 remote tendon equivalent
left_ring_mcp,left_hand,left_ring_mcp_link,Y,-85,10,0.08,2.5,1.3,0.035,0.02,XL330-M288 remote tendon equivalent
